Customer_ID,Name,Date_of_Birth,Purchase_Date,Purchase_Amount,City,Gender,Customer_Age
1654,Customer_1,1979-02-28,2023-01-26,3733.6,Mumbai,Female,47
1142,Customer_2,2007-03-15,2023-04-15,3415.83,Bangalore,Male,19
1604,Customer_3,1993-02-02,2023-02-02,246.01,Mumbai,Female,33
1517,Customer_4,2001-03-03,2023-01-28,2850.1,Pune,Female,25
1225,Customer_5,1994-04-25,2024-08-26,1463.13,Kolkata,Male,32
1777,Customer_6,1981-04-29,2024-03-08,1767.23,Mumbai,Female,45
1980,Customer_7,2008-05-31,2023-12-11,600.83,Chennai,Male,18
1367,Customer_8,1989-08-05,2024-09-10,1396.15,Hyderabad,Female,37
1549,Customer_9,1979-10-07,2024-01-23,486.12,Delhi,Male,47
1591,Customer_10,1982-10-16,2023-03-13,324.54,Mumbai,Male,44
1081,Customer_11,1984-08-10,2023-04-14,1962.62,Unknown,Male,42
1166,Customer_12,1990-10-09,2023-12-30,1126.58,Unknown,Male,36
1623,Customer_13,2002-08-25,2023-06-25,2717.29,Unknown,Female,24
1473,Customer_14,1991-03-09,2023-10-04,4948.66,Unknown,Female,35
1701,Customer_15,1988-09-17,2023-02-27,1222.34,Unknown,Male,38
1410,Customer_16,1986-03-05,2023-03-09,1133.82,Unknown,Male,40
1217,Customer_17,2003-07-26,2024-05-26,2038.6,Unknown,Female,23
1146,Customer_18,1986-01-17,2023-05-23,1308.47,Unknown,Male,40
1764,Customer_19,2000-05-21,2024-03-14,4499.33,Unknown,Male,26
1224,Customer_20,1980-05-15,2024-06-05,2518.23,Unknown,Male,46
1881,Customer_21,1979-01-31,2023-06-06,3174.49,Unknown,Female,47
1610,Customer_22,1977-01-05,2024-01-30,1969.93,Chennai,Male,49
1994,Customer_23,1998-12-25,2023-01-12,3433.39,Hyderabad,Male,28
1787,Customer_24,2002-12-01,2023-12-15,646.61,Chennai,Female,24
1464,Customer_25,1974-04-24,2023-09-27,4862.25,Kolkata,Female,52
1519,Customer_26,1978-12-09,2024-10-02,1562.38,Pune,Female,48
1156,Customer_27,1990-12-09,2023-06-15,2742.96,Kolkata,Male,36
1613,Customer_28,1988-09-14,2024-05-15,195.44,Delhi,Male,38
1245,Customer_29,1976-10-06,2023-09-04,4402.25,Hyderabad,Male,50
1749,Customer_30,1995-12-19,2023-03-12,4892.12,Bangalore,Female,31
1131,Customer_31,2003-10-05,2024-05-01,2537.1734883720933,Mumbai,Male,23
1540,Customer_32,2001-05-17,2024-03-09,2537.1734883720933,Bangalore,Female,25
1730,Customer_33,1988-02-24,2024-02-13,2537.1734883720933,Pune,Male,38
